K,gamma,exact_log_ratio,perturbative_log_ratio
5,0.018961293447875924,1.3397114405658144,2.7598084189110885
5,0.020895400492211946,1.0780562562293952,2.373373855855795
5,0.023026792076721033,0.8929280994174036,2.0012712795974092
5,0.0253755917979255,0.8111559101427588,1.6432835760543343
5,0.02796397591768401,0.8788901440075634,1.2991887157909732
5,0.03081638274102205,1.1802546257361115,0.9687342470383946
5,0.03395974335110968,1.921468155613674,0.6516114801525354
5,0.037423735879877934,4.196159630816723,0.34743432662122586
5,0.04124106571497687,2.9321531805888696,0.05572698696007894
5,0.04544777428865795,0.7430900694667741,-0.22407696304847047
5,0.050083579364019706,-0.48858683556162674,-0.4926236466790721
5,0.05519225003144003,-1.4107541422897434,-0.7506177119039359
5,0.06082201995573401,-2.1721194539239654,-0.9987939713544352
5,0.06702604277572308,-2.8117994773287194,-1.2378855663886523
5,0.07386289395588429,-3.3194523101950217,-1.468592197535195
5,0.08139712382832602,-3.6668743769846373,-1.6915512138861901
5,0.08969986704665296,-3.8473467103308145,-1.9073133502667066
5,0.09884951420589624,-3.8937550139024495,-2.116323943344411
5,0.10893245196962958,-3.854579804791136,-2.31890974353091
5,0.12004387869220161,-3.7653832138499865,-2.5152710467217707
5,0.13228870323680647,-3.640972018417525,-2.7054787810793552
5,0.14578253547561118,-3.477551657946119,-2.889476322461025
5,0.16065277782377413,-3.2516136840802794,-3.067086072566459
5,0.17703982811310548,-2.9051733961652353,-3.238021101113933
5,0.1950984051623391,-2.283796788539231,-3.4019023111023787
5,0.2149990095594233,-0.7427322777976784,-3.55828152577838
5,0.2369295334478522,-0.06334050092805654,-3.706670532753047
5,0.26109703451588046,-2.941499605051966,-3.8465754234212
